clause title,document id,before text,after text,added text
Usage Restrictions,40746,"Customer will not (a) make any Service or Content available to anyone other than Customer or Users, or use any Service or Content for the benefit of anyone other than Customer or its Affiliates, unless expressly stated otherwise in an Order Form or the Documentation, (b) sell, resell, license, sublicense, distribute, make available, rent or lease any Service or Content, or include any Service or Content in a service bureau or outsourcing offering, (c) use a Service or Non-SFDC Application to store or transmit infringing, libelous, or otherwise unlawful or tortious material, or to store or transmit material in violation of third-party privacy rights, (d) use a Service or Non-SFDC Application to store or transmit Malicious Code, (e) interfere with or disrupt the integrity or performance of any Service or third-party data contained therein, (f) attempt to gain unauthorized access to any Service or Content or its related systems or networks, (g) permit direct or indirect access to or use of any Services or Content in a way that circumvents a contractual usage limit, or use any Services to access or use any of SFDC intellectual property except as permitted under this Agreement, an Order Form, or the Documentation, (h) modify, copy, or create derivative works based on a Service or any part, feature, function or user interface thereof, (i) copy Content except as permitted herein or in an Order Form or the Documentation, (j) frame or mirror any part of any Service or Content, other than framing on Customer's own intranets or otherwise for its own internal business purposes or as permitted in the Documentation, (k) except to the extent permitted by applicable law, disassemble, reverse engineer, or decompile a Service or Content or access it to (1) build a competitive product or service, (2)  build a product or service using similar ideas, features, functions or graphics of the Service, (3) copy any ideas, features, functions or graphics of the Service, or (4) determine whether the Services are within the scope of any patent . ","Customer will not (a) make any Service or Content available to anyone other than Customer or Users, or use any Service or Content for the benefit of anyone other than Customer or its Affiliates, unless expressly stated otherwise in an Order Form or the Documentation, (b) sell, resell, license, sublicense, distribute, make available, rent or lease any Service or Content, or include any Service or Content in a service bureau or outsourcing offering, (c) knowingly use a Service or Non-SFDC Application to store or transmit infringing, libelous, or otherwise unlawful or tortious material, or to store or transmit material in violation of third-party privacy rights, (d) knowingly use a Service or Non-SFDC Application to store or transmit Malicious Code, (e) knowingly interfere with or disrupt the integrity or performance of any Service or third-party data contained therein, (f) attempt to gain unauthorized access to any Service or Content or its related systems or networks, (g) permit access to or use of any Services or Content in a way that circumvents a contractual usage limit, or use any Services to access or use any of SFDC intellectual property except as permitted under this Agreement, an Order Form, or the Documentation, (h) modify, copy, or create derivative works based on a Service or any part, feature, function or user interface thereof, (i), (j) frame or mirror any part of any Service or Content, other than framing on Customer's own intranets or otherwise for its own internal business purposes or as permitted in the Documentation, (k) except to the extent permitted by applicable law, disassemble, reverse engineer, or decompile a Service or Content or access it to (1) build a competitive product or service, (2)  build a product or service using similar ideas, features, functions or graphics of the Service, (3) copy any ideas, features, functions or graphics of the Service. ",
SFDC Warranties,40746,"SFDC warrants that during an applicable subscription term (a) this Agreement, the Order Forms and the Documentation will accurately describe the applicable administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, (b) SFDC will not materially decrease the overall security of the Services, (c) the Services will perform materially in accordance with the applicable Documentation, and (d) subject to the “Integration with Non-SFDC Applications” section above, SFDC will not materially decrease the overall functionality of the Services. For any breach of a warranty above, Customer’s exclusive remedies are those described in the “Termination” and “Refund or Payment upon Termination” sections below. ","SFDC warrants that during an applicable subscription term (a) this Agreement, the Order Forms and the Documentation will accurately describe the applicable administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, (b) SFDC will not materially decrease the overall security of the Services, (c) the Services will perform materially in accordance with the applicable Documentation, and (d) subject to the “Integration with Non-SFDC Applications” section above, SFDC will not materially decrease the overall functionality of the Services. For any breach of a warranty under (c) and (d) above, Customer’s exclusive remedies are those described in the “Termination” and “Refund or Payment upon Termination” sections below. ",
MASTER SUBSCRIPTION AGREEMENT,40746,"Customer Full Legal Name: NAN Customer Address: Washington DC This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (“SFDC”) and the customer named above. This Agreement is effective as of the last date beneath the parties’ signatures below (the “Effective Date”). The parties agree that the Master Subscription Agreement between Customer and SFDC dated January 31, 2014 is hereby terminated contemporaneously with theexecution of this MSA. The parties agree as follows: ","Customer Full Legal Name: NAN Customer Address: Washington DC This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (“SFDC”) and the customer named above. This Agreement is effective as of the last date beneath the parties’ signatures below (the “Effective Date”). The parties agree that the Master Subscription Agreement between Customer and SFDC dated January 31, 2014 is hereby terminated contemporaneously with the execution of this MSA. The parties agree as follows: ",
Customer Responsibilities,40746,"Customer will (a) be responsible for Users’ compliance with this Agreement, Documentation and Order Forms, (b) be responsible for the accuracy, quality and legality of Customer Data, the means by which Customer acquired Customer Data, and the interoperation of any Non-SFDC Applications with which Customer uses Services or Content,  (c) use commercially reasonable efforts to prevent unauthorized access to or use of Services and Content, and notify SFDC promptly of any such unauthorized access or use, and (d) use Services and Content only in accordance with this Agreement, Documentation, the Acceptable Use and External Facing Services Policy at https://www.salesforce.com/ company/legal/agreements. jsp , Order Forms and applicable laws and government regulations. Any use of the Services in breach of the foregoing by Customer or Users that in SFDC’s judgment threatens the security, integrity or availability of SFDC’s services, may result in SFDC’s immediate suspension of the Services, however SFDC will use commercially reasonable efforts under the circumstances to provide Customer with notice and an opportunity to remedy such violation or threat prior to any such suspension. ","Customer will (a) be responsible for Users’ compliance with this Agreement, Documentation and Order Forms, (b) be responsible for the legality of Customer Data, the means by which Customer acquired Customer Data, and the interoperation of any Customer-provided Non-SFDC Applications with which Customer uses Services or Content,  (c) use commercially reasonable efforts to prevent unauthorized access to or use of Services and Content, and notify SFDC promptly of any such unauthorized access or use, and (d) use Services and Content only in accordance with this Agreement, Documentation, the Acceptable Use and External Facing Services Policy at https://www.salesforce.com/ company/legal/agreements. jsp , Order Forms and applicable laws and government regulations. Any use of the Services in breach of the foregoing by Customer or Users that in SFDC’s reasonable judgment threatens the security, integrity or availability of SFDC’s services, may result in SFDC’s immediate suspension of the Services, however SFDC will use commercially reasonable efforts under the circumstances to provide Customer with notice and an opportunity to remedy such violation or threat prior to any such suspension. ",
Beta Services,40746,"From time to time, SFDC may make Beta Services available to Customer at no charge. Customer may choose to try such Beta Services or not in its sole discretion. Any use of Beta Services is subject to the Beta Services terms at https://www.salesforce.com/company/legal/agreements.jsp . ","From time to time, SFDC may make Beta Services available to Customer at no charge. All Beta Services will be cleared labeled as such. Customer may choose to try such Beta Services or not in its sole discretion. Any use of Beta Services is subject to the Beta Services terms at https://www.salesforce.com/company/legal/agreements.jsp . ",
License by Customer to SFDC,40746,"Customer grants SFDC, its Affiliates and applicable contractors a worldwide, limited-term license to host, copy, use, transmit, and display any Non-SFDC Applications and program code created by or for Customer using a Service or for use by Customer with the Services, and Customer Data, each as necessary for SFDC to provide and ensure proper operation of, the Services and associated systems in accordance with this Agreement. If Customer chooses to use a Non-SFDC Application with a Service, Customer grants SFDC permission to allow the Non-SFDC Application and its provider to access Customer Data as required for the interoperation of that Non-SFDC Application with the Service. Subject to the limited licenses granted herein, SFDC acquires no right, title or interest from Customer or its licensors under this Agreement in or to any Customer Data, Non-SFDC Application or such program code. ","Customer grants SFDC, its Affiliates and applicable contractors a worldwide, limited-term license to host, copy, use, transmit, and display any Non-SFDC Applications and program code created by or for Customer using a Service or for use by Customer with the Services, and Customer Data, solely as necessary for SFDC to provide and ensure proper operation of, the Services and associated systems in accordance with this Agreement. If Customer chooses to use a Non-SFDC Application with a Service, Customer grants SFDC permission to allow the Non-SFDC Application and its provider to access Customer Data solely as required for the interoperation of that Non-SFDC Application with the Service. Subject to the limited licenses granted herein, SFDC acquires no right, title or interest from Customer or its licensors under this Agreement in or to any Customer Data, Non-SFDC Application or such program code. ",
Customer Data,40745,,"and information submitted by or for Customer to the Services, excluding Content and Non-SFDC Applications. ",
SFDC Warranties,40745,"SFDC warrants that during an applicable subscription term (a) this Agreement, the Order Forms and the Documentation will accurately describe the applicable administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, (b) SFDC will not materially decrease the overall security of the Services, (c) the Services will perform materially in accordance with the applicable Documentation, and (d) subject to the “Integration with Non-SFDC Applications” section above, SFDC will not materially decrease the overall functionality of the Services. For any breach of a warranty above, Customer’s exclusive remedies are those described in the “Termination” and “Refund or Payment upon Termination” sections below. ","SFDC warrants that during an applicable subscription term (a) this Agreement, the Order Forms and the Documentation will accurately describe the applicable administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, (b) SFDC will not decrease the overall security of the Services, (c) the Services will perform in accordance with the applicable Documentation, and (d) subject to the “Integration with Non-SFDC Applications” section above, SFDC will not decrease the overall functionality of the Services. ",
Exclusion of Consequential and Related Damages,40745,"IN NO EVENT WILL EITHER PARTY OR ITS AFFILIATES HAVE ANY LIABILITY ARISING OUT OF OR RELATED TO THIS AGREEMENT FOR ANY LOST PROFITS, REVENUES, GOODWILL, OR INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL, COVER, BUSINESS INTERRUPTION OR PUNITIVE DAMAGES, WHETHER AN ACTION IS IN CONTRACT OR TORT AND REGARDLESS OF THE THEORY OF LIABILITY, EVEN IF A PARTY OR ITS AFFILIATES HAVE BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF A PARTY’S OR ITS AFFILIATES’ REMEDY OTHERWISE FAILS OF ITS ESSENTIAL PURPOSE. THE FOREGOING DISCLAIMER WILL NOT APPLY TO TO THE EXTENT PROHIBITED BY LAW. ","IN NO EVENT WILL EITHER PARTY OR ITS AFFILIATES HAVE ANY LIABILITY ARISING OUT OF OR RELATED TO THIS AGREEMENT FOR ANY LOST PROFITS, REVENUES, GOODWILL, OR INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL, COVER, BUSINESS INTERRUPTION OR PUNITIVE DAMAGES, WHETHER AN ACTION IS IN CONTRACT OR TORT AND REGARDLESS OF THE THEORY OF LIABILITY, EVEN IF A PARTY OR ITS AFFILIATES HAVE BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF A PARTY’S OR ITS AFFILIATES’ REMEDY OTHERWISE FAILS OF ITS ESSENTIAL PURPOSE. THE FOREGOING DISCLAIMER WILL NOT APPLY TO OR LIMIT A PARTY’S INDEMNIFICATION OBLIGATIONS IN SECTION 9 ABOVE, OR A BREACH BY A PARTY OF ITS CONFIDENTIALITY OBLIGATIONS IN SECTION 7, 2.2 OR TO THE EXTENT PROHIBITED BY LAW. ",
Customer,40745,. ,,
Reservation of Rights,40745,"Subject to the limited rights expressly granted hereunder, SFDC, its Affiliates, its licensors and Content providers reserve all of their right, title and interest in and to the Services and Content, including all of their related intellectual property rights. No rights are granted to Customer hereunder other than as expressly set forth herein. ","Subject to the limited rights expressly granted hereunder, (a) SFDC, its Affiliates, its licensors and Content providers reserve all of their right, title and interest in and to the Services and Content, including all of their related intellectual property rights, and (b) Customer exclusively owns all right, title and interest in and to all Customer Data. No rights are granted to either Party hereunder other than as expressly set forth herein. ",
Non-SFDC Application,40745,"Non-SFDC Applications, other than those obtained or provided by Customer, will be identifiable as such. “Order Form” means an ordering document or online order specifying the Services to be provided hereunder that is entered into between Customer and SFDC or any of their Affiliates, including any addenda and supplements thereto. By entering into an Order Form hereunder, an Affiliate agrees to be bound by the terms of this Agreement as if it were an original party hereto. ","Non-SFDC Applications, other than those obtained or provided by Customer, will be identifiable as such. “Order Form” means an ordering document or online order specifying the Services to be provided hereunder that is entered into between Customer and SFDC and/or any of their Affiliates, including any executed addenda and supplements thereto. By entering into an Order Form hereunder, an Affiliate agrees to be bound by the terms of this Agreement as if it were an original party hereto. ",
License by Customer to SFDC,40745,"Customer grants SFDC, its Affiliates and applicable contractors a worldwide, limited-term license to host, copy, use, transmit, and display any Non-SFDC Applications and program code created by or for Customer using a Service or for use by Customer with the Services, and Customer Data, each as necessary for SFDC to provide and ensure proper operation of, the Services and associated systems in accordance with this Agreement. If Customer chooses to use a Non-SFDC Application with a Service, Customer grants SFDC permission to allow the Non-SFDC Application and its provider to access Customer Data as required for the interoperation of that Non-SFDC Application with the Service. Subject to the limited licenses granted herein, SFDC acquires no right, title or interest from Customer or its licensors under this Agreement in or to any Customer Data, Non-SFDC Application or such program code. ","Customer grants SFDC, its Affiliates and applicable contractors a worldwide, limited-term, non-exclusive license to host, copy, use, transmit, and display any Non-SFDC Applications and program code created by or for Customer using a Service or for use by Customer with the Services, and Customer Data, each solely to the extent as necessary for SFDC to provide and ensure proper operation of, the Services and associated systems in accordance with this Agreement. If Customer chooses to use a Non-SFDC Application with a Service, Customer grants SFDC permission to allow the Non-SFDC Application and its provider to access Customer Data as required for the interoperation of that Non-SFDC Application with the Service. Subject to the limited licenses granted herein, SFDC acquires no right, title or interest from Customer or its licensors under this Agreement in or to any Customer Data, Non-SFDC Application or such program code. ",
Indemnification by SFDC,40745,"SFDC will defend Customer against any claim, demand, suit or proceeding made or brought against Customer by a third party alleging that any Service infringes or misappropriates such third party’s intellectual property rights (a “Claim Against Customer”), and will indemnify Customer from any damages, attorney fees and costs finally awarded against Customer as a result of, or for amounts paid by Customer under a settlement approved by SFDC in writing of, a Claim Against Customer, provided Customer (a) promptly gives SFDC written notice of the Claim Against Customer, (b) gives SFDC sole control of the defense and settlement of the Claim Against Customer (except that SFDC may not settle any Claim Against Customer unless it unconditionally releases Customer of all liability), and (c) gives SFDC all reasonable assistance, at SFDC’s expense. If SFDC receives information about an infringement or misappropriation claim related to a Service, SFDC may in its discretion and at no cost to Customer (i) modify the Services so that they are no longer claimed to infringe or misappropriate, without breaching SFDC’s warranties under “SFDC Warranties” above, (ii) obtain a license for Customer’s continued use of that Service in accordance with this Agreement, or (iii) terminate Customer’s subscriptions for that Service upon 30 days’ written notice and refund Customer any prepaid fees covering the remainder of the term of the terminated subscriptions. The above defense and indemnification obligations do not apply if (1) the allegation does not state with specificity that the Services are the basis of the Claim Against Customer; (2) a Claim Against Customer arises from the use or combination of the Services or any part thereof with software, hardware, data, or processes not provided by SFDC, if the Services or use thereof would not infringe without such combination; (3) a Claim Against Customer arises from Services under an Order Form for which there is no charge; or (4) a Claim Against Customer arises from Content, a Non-SFDC Application or Customer’s breach of this Agreement, the Documentation or applicable Order Forms. ","SFDC will defend Customer and its parent and Affiliates, and each’s respective officers, directors, stockholders, employees and agents against any claim, demand, suit or proceeding made or brought against Customer by a third party (i) arising from SFDC’s breach of its confidentiality obligations specified in Section 7 herein or its obligations in Section 2.2, (ii) resulting from SFDC’s gross negligence or intentional misconduct, and/or (iii) alleging that any Service infringes or misappropriates such third party’s intellectual property rights or violates applicable law (a “Claim Against Customer”), and will indemnify Customer from any damages, attorney fees and costs incurred, or finally awarded against Customer as a result of, or for amounts paid by Customer under a settlement approved by SFDC in writing of, a Claim Against Customer, provided Customer (a) promptly gives SFDC written notice of the Claim Against Customer, (b) gives SFDC sole control of the defense and settlement of the Claim Against Customer (except that SFDC may not settle any Claim Against Customer unless it unconditionally releases Customer of all liability), and (c) gives SFDC all reasonable assistance, at SFDC’s expense. If SFDC receives information about an infringement or misappropriation claim related to a Service, SFDC shall in its discretion and at no cost to Customer (i) modify the Services so that they are no longer claimed to infringe or misappropriate, without breaching SFDC’s warranties under “SFDC Warranties” above, (ii) obtain a license for Customer’s continued use of that Service in accordance with this Agreement, or (iii) terminate Customer’s subscriptions for that Service upon 30 days’ written notice and refund Customer any prepaid fees covering the remainder of the term of the terminated subscriptions. The above defense and indemnification obligations do not apply if (1) the allegation does not state with specificity that the Services are the basis of the Claim Against Customer; (2) a Claim Against Customer arises from the use or combination of the Services or any part thereof with software, hardware, data, or processes not provided or approved by SFDC, if the Services or use thereof would not infringe without such combination; (3) a Claim Against Customer arises from Services under an Order Form for which there is no charge; or (4) a Claim Against Customer arises solely from Content, a Non-SFDC Application or Customer’s breach of this Agreement, the Documentation or applicable Order Forms. ",
Termination,40745,"A party may terminate this Agreement for cause (i) upon 30 days written notice to the other party of a material breach if such breach remains uncured at the expiration of such period, or (ii) if the other party becomes the subject of a petition in bankruptcy or any other proceeding relating to insolvency, receivership, liquidation or assignment for the benefit of creditors. ","A party may terminate this Agreement for cause (i) upon 30 days written notice to the other party of a material breach if such breach remains uncured at the expiration of such period, or (ii) if the other party becomes the subject of a petition in bankruptcy or any other proceeding relating to insolvency, receivership, liquidation or assignment for the benefit of creditors. Except as expressly provided herein, termination of this Agreement by either party will be a nonexclusive remedy for breach and will be without prejudice to any other right or remedy of such party. ",
User,40745,"Users may include, for example, employees, consultants, contractors and agents of Customer, and third parties with which Customer transacts business. ","Users may include, for example, employees, consultants, contractors and agents of Customer, its Affiliates, and third parties with which Customer transacts business. ",
Refund or Payment upon Termination,40745,"If this Agreement is terminated by Customer in accordance with the “Termination” section above, SFDC will refund Customer any prepaid fees covering the remainder of the term of all Order Forms after the effective date of termination. If this Agreement is terminated by SFDC in accordance with the “Termination” section above, Customer will pay any unpaid fees covering the remainder of the term of all Order Forms to the extent permitted by applicable law. In no event will termination relieve Customer of its obligation to pay any fees payable to SFDC for the period prior to the effective date of termination. ","If this Agreement is terminated by Customer in accordance with the “Termination” section above, SFDC will promptly refund Customer any prepaid fees covering the remainder of the term of all Order Forms after the effective date of termination. If this Agreement is terminated by SFDC in accordance with the “Termination” section above, Customer will pay any unpaid fees covering the remainder of the term of all Order Forms to the extent permitted by applicable law. In no event will termination relieve Customer of its obligation to pay any fees payable to SFDC for the period prior to the effective date of termination. ",
Definition of Confidential Information,40745,"“Confidential Information” means all information disclosed by a party (“Disclosing Party”) to the other party (“Receiving Party”), whether orally or in writing, that is designated as confidential or that reasonably should be understood to be confidential given the nature of the information and the circumstances of disclosure. Confidential Information of Customer includes Customer Data; Confidential Information of SFDC includes the Services and Content; and Confidential Information of each party includes the terms and conditions of this Agreement and all Order Forms (including pricing), as well as business and marketing plans, technology and technical information, product plans and designs, and business processes disclosed by such party. However, Confidential Information does not include any information that (i) is or becomes generally known to the public without breach of any obligation owed to the Disclosing Party, (ii) was known to the Receiving Party prior to its disclosure by the Disclosing Party without breach of any obligation owed to the Disclosing Party, (iii) is received from a third party without breach of any obligation owed to the Disclosing Party, or (iv) was independently developed by the Receiving Party. For the avoidance of doubt, the non-disclosure obligations set forth in this “Confidentiality” section apply to Confidential Information exchanged between the parties in connection with the evaluation of additional SFDC services. ","“Confidential Information” means all information disclosed by a party (“Disclosing Party”) to the other party (“Receiving Party”), whether orally or in writing, that is designated as confidential or that reasonably should be understood to be confidential given the nature of the information and the circumstances of disclosure. Confidential Information of Customer includes Customer Data; Confidential Information of SFDC includes the Services and Content; and Confidential Information of each party includes the terms and conditions of this Agreement and all Order Forms (including pricing), as well as business and marketing plans, technology and technical information, product plans and designs, and business processes disclosed by such party. However, Confidential Information does not include any information that (i) is or becomes generally known to the public without breach of any obligation owed to the Disclosing Party, (ii) was known to the Receiving Party prior to its disclosure by the Disclosing Party without breach of any obligation owed to the Disclosing Party, (iii) is received from a third party without breach of any obligation owed to the Disclosing Party, or (iv) was independently developed by the Receiving Party without use of, or reference to the Confidential Information . For the avoidance of doubt, the non-disclosure obligations set forth in this “Confidentiality” section apply to Confidential Information exchanged between the parties in connection with the evaluation of additional SFDC services. ",
Documentation,40745,", and its usage guides and policies, as updated from time to time, accessible via help.salesforce.com or login to the applicable Service. ",", and its usage guides and policies, as updated from time to time, accessible via help.salesforce.com or login to the applicable Service, as well as all other documentation generally supplied by SFDC to its customers of the Services . ",
Indemnification by Customer,40745,"Customer will defend SFDC and its Affiliates against any claim, demand, suit or proceeding made or brought against SFDC by a third party alleging (a) that any Customer Data or Customer’s use of Customer Data with the Services, (b) a Non-SFDC Application provided by Customer, or (c) the combination of a Non-SFDC Application provided by Customer and used with the Services, infringes or misappropriates such third party’s intellectual property rights, or arising from Customer’s use of the Services or Content in an unlawful manner or in violation of the Agreement, the Documentation, or Order Form (each a “Claim Against SFDC”), and will indemnify SFDC from any damages, attorney fees and costs finally awarded against SFDC as a result of, or for any amounts paid by SFDC under a settlement approved by Customer in writing of, a Claim Against SFDC, provided SFDC (a) promptly gives Customer written notice of the Claim Against SFDC, (b) gives Customer sole control of the defense and settlement of the Claim Against SFDC (except that Customer may not settle any Claim Against SFDC unless it unconditionally releases SFDC of all liability), and (c) gives Customer all reasonable assistance, at Customer’s expense. The above defense and indemnification obligations do not apply if a Claim Against SFDC arises from SFDC’s breach of this Agreement, the Documentation or applicable Order Forms. ","Customer will defend SFDC and its Affiliates against any claim, demand, suit or proceeding made or brought against SFDC by a third party alleging (a) that any Customer Data or Customer’s use of Customer Data with the Services, (b) a Non-SFDC Application provided by Customer, or (c) the combination of a Non-SFDC Application provided by Customer and used with the Services, infringes or misappropriates such third party’s intellectual property rights, or arising from Customer’s use of the Services or Content in an unlawful manner or in material breach of the Agreement, the Documentation, or Order Form (each a “Claim Against SFDC”), and will indemnify SFDC from any damages, attorney fees and costs finally awarded against SFDC as a result of, or for any amounts paid by SFDC under a settlement approved by Customer in writing of, a Claim Against SFDC, provided SFDC (a) promptly gives Customer written notice of the Claim Against SFDC, (b) gives Customer sole control of the defense and settlement of the Claim Against SFDC (except that Customer may not settle any Claim Against SFDC unless it unconditionally releases SFDC of all liability), and (c) gives Customer all reasonable assistance, at Customer’s expense. The above defense and indemnification obligations do not apply if a Claim Against SFDC arises from SFDC’s breach of this Agreement, the Documentation or applicable Order Forms. ",
Compelled Disclosure,40745,"The Receiving Party may disclose Confidential Information of the Disclosing Party to the extent compelled by law to do so, provided the Receiving Party gives the Disclosing Party prior notice of the compelled disclosure (to the extent legally permitted) and reasonable assistance, at the Disclosing Party's cost, if the Disclosing Party wishes to contest the disclosure. If the Receiving Party is compelled by law to disclose the Disclosing Party’s Confidential Information as part of a civil proceeding to which the Disclosing Party is a party, and the Disclosing Party is not contesting the disclosure, the Disclosing Party will reimburse the Receiving Party for its reasonable cost of compiling and providing secure access to that Confidential Information. ","The Receiving Party may disclose Confidential Information of the Disclosing Party to the extent compelled by law to do so, provided the Receiving Party gives the Disclosing Party prior written notice of the compelled disclosure (to the extent legally permitted) and reasonable assistance, at the Disclosing Party's cost, if the Disclosing Party wishes to contest the disclosure. If the Receiving Party is compelled by law to disclose the Disclosing Party’s Confidential Information as part of a civil proceeding to which the Disclosing Party is a party, and the Disclosing Party is not contesting the disclosure, the Disclosing Party will reimburse the Receiving Party for its reasonable cost of compiling and providing secure access to that Confidential Information. ",
Limitation of Liability,40745,"IN NO EVENT SHALL THE AGGREGATE LIABILITY OF EACH PARTY TOGETHER WITH ALL OF ITS AFFILIATES ARISING OUT OF OR RELATED TO THIS AGREEMENT EXCEED THE TOTAL AMOUNT PAID BY CUSTOMER AND ITS AFFILIATES HEREUNDER FOR THE SERVICES GIVING RISE TO THE LIABILITY IN THE TWELVE MONTHS PRECEDING THE FIRST INCIDENT OUT OF WHICH THE LIABILITY AROSE. THE FOREGOING LIMITATION WILL APPLY WHETHER AN ACTION IS IN CONTRACT OR TORT AND REGARDLESS OF THE THEORY OF LIABILITY, BUT WILL NOT LIMIT CUSTOMER'S AND ITS AFFILIATES’ PAYMENT OBLIGATIONS UNDER THE “FEES AND PAYMENT” SECTION ABOVE. ","IN NO EVENT SHALL THE AGGREGATE LIABILITY OF EACH PARTY TOGETHER WITH ALL OF ITS AFFILIATES ARISING OUT OF OR RELATED TO THIS AGREEMENT EXCEED THE TOTAL AMOUNT PAID BY CUSTOMER AND ITS AFFILIATES HEREUNDER FOR THE SERVICES GIVING RISE TO THE LIABILITY IN THE TWELVE MONTHS PRECEDING THE FIRST INCIDENT OUT OF WHICH THE LIABILITY AROSE. THE FOREGOING LIMITATION WILL APPLY WHETHER AN ACTION IS IN CONTRACT OR TORT AND REGARDLESS OF THE THEORY OF LIABILITY, BUT WILL NOT LIMIT A PARTY’S INDEMNIFICATION OBLIGATIONS IN SECTION 9 ABOVE, A BREACH BY A PARTY OF ITS CONFIDENTIALITY OBLIGATIONS IN SECTION 7, 2.2 OR CUSTOMER'S AND ITS AFFILIATES’ PAYMENT OBLIGATIONS UNDER THE “FEES AND PAYMENT” SECTION ABOVE. ",
Provision of Services,40745,"SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c)  use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form. ","SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and in accordance with all Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c)  make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give reasonable advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with industry standards and laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form. ",
